building_id,damage_grade
716310,3
283080,3
690774,2
904803,2
991971,2
231022,3
262946,3
477837,3
202041,2
155803,2
351958,2
326808,3
416856,3
395731,3
809243,3
928482,2
295321,2
984766,3
1044178,2
378942,3
954505,3
881720,2
238394,3
31414,1
216806,2
170497,3
719748,3
13814,2
349796,2
318331,3
1035543,2
1028499,2
542727,2
971046,2
448569,2
789916,3
240351,2
659151,2
173336,2
55318,3
589947,2
322968,2
265443,3
727434,2
479911,2
592283,2
968802,3
20530,2
710939,3
651669,2
617295,3
577399,1
963912,2
3827,3
985615,2
1032084,1
1033849,2
457554,2
707726,2
482717,2
603442,3
791313,2
660340,2
984288,2
586546,2
502370,3
437717,2
204044,2
564778,2
203604,1
342917,3
136299,3
478266,3
38788,2
359148,3
121476,2
184746,2
775371,1
1009251,3
566612,2
9968,2
715316,3
665441,1
25629,2
491099,3
265690,2
854139,2
204147,2
470035,2
908255,2
744480,2
299739,3
698987,3
338691,2
224063,2
749960,3
161017,2
281631,3
821075,2
698705,2
852740,2
1050051,2
32005,2
983332,2
612414,2
28835,1
389654,1
130065,2
468020,2
988472,3
594285,3
517414,2
173161,3
300451,2
563996,3
35383,3
32624,2
617711,2
720316,3
936414,2
813032,2
890590,1
238830,3
901755,3
182300,1
844945,2
20725,2
876027,1
205799,3
1025873,2
991458,3
299289,2
437057,2
168872,2
266629,2
193320,2
431993,3
698154,3
1015095,3
945811,2
529995,2
809125,1
792539,2
1000939,2
319932,3
697740,2
593454,2
354066,2
127640,2
198161,3
93680,3
221651,2
677203,2
950635,2
136453,2
581640,3
905902,3
894944,3
201040,2
983112,2
470866,3
568375,2
554460,1
878033,2
236250,2
523503,2
1028557,2
84591,3
867342,3
531388,3
54412,2
7941,2
631468,2
1012463,2
492662,3
56527,2
737594,3
793129,2
140403,2
464649,2
1031291,2
737520,1
314592,2
961414,3
364749,3
945029,2
947168,3
437663,2
504727,2
769431,3
440169,3
649665,2
279576,3
999122,3
41174,2
122600,1
594788,2
382841,1
374148,3
907677,3
917129,3
832880,3
613501,1
125876,3
384595,2
507317,2
252677,1
255774,3
1036880,2
70065,2
968535,1
111683,1
324326,2
299132,3
452151,3
145157,2
428891,2
416563,3
585051,3
692425,2
687218,2
15779,2
834312,2
461003,2
256549,2
896765,2
461487,2
370258,2
449352,2
976503,3
1023112,2
984987,3
922882,1
244216,2
355756,1
645143,1
715111,2
406480,3
669930,2
715298,2
1032355,2
217466,2
304298,3
924530,3
392957,2
417306,2
501050,2
895995,2
726362,2
1002904,2
34852,2
508324,2
280848,2
270817,1
626890,2
595280,3
480966,3
593182,2
868584,2
412696,3
742459,2
219493,3
714593,2
856582,2
285955,3
730518,2
120409,2
442559,3
436603,3
543090,2
77372,1
722296,3
725871,2
399298,3
600267,3
344391,2
719585,3
142654,2
711669,3
288515,3
1030207,3
790748,3
297722,2
553855,3
11971,2
1046008,1
973429,3
379179,2
91927,3
578182,3
563942,1
1009122,3
125094,2
160545,2
1047032,2
1008051,2
53716,2
859337,2
757310,1
102830,2
441884,2
312895,3
254662,3
379684,3
179282,2
381316,1
1031491,3
806155,2
728846,3
666349,3
441607,2
76921,1
483983,2
382834,3
634089,1
1034523,1
322089,3
689071,2
830324,2
1007498,3
33125,2
445349,2
1034943,2
439331,2
713328,2
326101,2
455450,3
930226,3
601386,2
577053,2
518647,2
951514,2
798222,3
552717,2
450182,3
922395,2
762090,2
79459,1
768337,2
991185,2
911353,3
751400,1
529005,1
984545,2
594526,2
325433,3
472166,2
319228,2
31959,3
378054,3
247633,2
1026668,2
814237,2
336786,2
253544,2
1007047,2
742916,1
1044776,2
896518,2
968172,2
789137,3
828769,2
587434,1
758854,2
1048981,2
80856,3
935894,2
328711,3
667658,2
1019507,3
715536,3
932703,2
110552,2
806356,3
814186,3
635723,2
74704,2
189676,2
729821,3
227900,2
909420,3
493937,3
561674,2
742895,3
546913,3
584486,3
706112,2
1039344,3
667038,3
206812,2
99426,2
387300,3
343393,2
185088,2
277886,3
418951,3
809682,1
707099,2
987930,2
764848,2
141219,2
490290,2
999282,2
898462,2
331470,3
473420,2
285863,2
1040395,3
209223,3
741138,2
1028099,2
18007,2
300900,2
492995,3
852172,2
351955,1
841788,3
859679,2
420122,2
147515,3
1001252,3
631839,2
926661,3
1019685,3
256165,2
